epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
179,24048.8,1.11373,0.46446,0.92851,0.93392,0.91687,0.95588,0.61283,1.29262,0.51589,1.03611,0.0001189,0.0001189,0.0001189
180,24181.1,1.10459,0.46142,0.92841,0.93383,0.91726,0.95591,0.61268,1.29273,0.51608,1.03616,0.00011395,0.00011395,0.00011395
181,24313.6,1.10917,0.46126,0.92571,0.93397,0.91709,0.95587,0.61275,1.29286,0.51618,1.03632,0.000109,0.000109,0.000109
182,24445.5,1.09883,0.45847,0.92999,0.93471,0.91645,0.95597,0.61285,1.29307,0.51631,1.03639,0.00010405,0.00010405,0.00010405
183,24579.2,1.1119,0.4621,0.92771,0.93439,0.91647,0.95593,0.61291,1.2933,0.51662,1.03655,9.91e-05,9.91e-05,9.91e-05
184,24711.7,1.10811,0.46266,0.92806,0.93494,0.91636,0.95594,0.6129,1.29343,0.51673,1.03662,9.415e-05,9.415e-05,9.415e-05
185,24844,1.10425,0.46207,0.9267,0.93475,0.916,0.95586,0.61282,1.29357,0.51677,1.0367,8.92e-05,8.92e-05,8.92e-05
186,24977.2,1.09675,0.45812,0.92714,0.93485,0.91614,0.95585,0.61273,1.29377,0.51684,1.03678,8.425e-05,8.425e-05,8.425e-05
187,25109.7,1.10369,0.46046,0.92599,0.93459,0.9166,0.95598,0.61266,1.29384,0.5169,1.03685,7.93e-05,7.93e-05,7.93e-05
188,25242.8,1.10554,0.46048,0.9269,0.93476,0.91649,0.95588,0.61259,1.29411,0.51712,1.03701,7.435e-05,7.435e-05,7.435e-05
189,25375.7,1.09791,0.45719,0.92687,0.93475,0.91614,0.95584,0.61254,1.29416,0.51732,1.0371,6.94e-05,6.94e-05,6.94e-05
190,25507.4,1.09358,0.4572,0.9272,0.93487,0.91625,0.95584,0.61267,1.29427,0.51749,1.03717,6.445e-05,6.445e-05,6.445e-05
